journalName,MULTI,NCBI_SRA,EMBL,DDBJ,NCBI_GEO,TCGA,GTEx
3_Biotech,0,5,1,0,0,25,1
3D_Print_Med,0,0,0,0,0,1,0
AAPS_J,0,0,0,0,1,1,0
Acad_Pathol,0,0,0,0,0,2,0
Acc_Chem_Res,0,0,0,0,0,1,0
ACS_Appl_Mater_Interfaces,0,0,0,0,0,2,0
ACS_Biomater_Sci_Eng,0,0,0,0,0,1,0
ACS_Cent_Sci,0,2,0,0,0,0,0
ACS_Chem_Biol,1,2,0,0,1,9,0
ACS_Chem_Neurosci,0,0,0,0,0,1,0
ACS_Infect_Dis,0,2,0,0,1,3,0
ACS_Nano,0,0,0,0,1,9,0
ACS_Omega,0,0,0,0,1,16,0
ACS_Sens,0,0,0,0,0,1,0
ACS_Synth_Biol,0,0,0,0,1,6,0
Acta_Biochim_Biophys_Sin_(Shanghai),0,0,0,0,0,0,0
Acta_Biomater,0,0,0,0,0,2,0
Acta_Cir_Bras,0,0,0,0,0,1,0
Acta_Crystallogr_D_Biol_Crystallogr,0,0,1,0,0,13,0
Acta_Crystallogr_D_Struct_Biol,0,0,0,0,0,3,0
Acta_Crystallogr_F_Struct_Biol_Commun,0,0,0,0,0,20,0
Acta_Crystallogr_Sect_F_Struct_Biol_Cryst_Commun,0,0,0,0,0,25,0
Acta_Diabetol,0,0,0,0,0,0,1
Acta_Histochem_Cytochem,0,0,0,0,0,12,0
Acta_Med_Litu,0,0,0,0,0,1,0
Acta_Naturae,1,2,0,0,2,29,0
Acta_Neuropathol,5,0,0,0,14,28,2
Acta_Neuropathol_Commun,8,0,0,0,38,48,1
Acta_Ophthalmol,0,0,0,0,0,0,1
Acta_Orthop,0,0,0,0,0,5,0
Acta_Orthop_Traumatol_Turc,0,0,0,0,2,0,0
Acta_Ortop_Bras,0,0,0,0,0,1,0
Acta_Otorhinolaryngol_Ital,1,0,0,0,0,0,0
Acta_Paediatr,0,0,0,0,0,1,0
Acta_Pharmacol_Sin,0,0,0,0,1,6,0
Acta_Pharm_Sin_B,0,4,1,0,2,16,0
Acta_Physiol_(Oxf),0,0,0,0,0,0,0
Acta_Theriol_(Warsz),0,0,0,0,0,0,0
Acta_Trop,0,0,0,0,0,1,0
Acta_Vet_Scand,0,1,1,0,1,15,0
Addict_Behav_Rep,0,0,0,0,5,0,0
Addict_Biol,0,0,0,0,1,0,1
Addiction,0,0,0,0,1,0,0
Addict_Sci_Clin_Pract,0,0,0,0,2,0,0
Adipocyte,0,0,0,0,3,6,0
Adv_Appl_Bioinforma_Chem,0,0,0,0,3,0,0
Adv_Appl_Bioinform_Chem,0,0,0,0,1,1,0
Adv_Bioinformatics,1,2,0,0,8,2,0
Adv_Biomed_Res,0,0,0,0,1,11,0
Adv_Biosci_Biotechnol,0,0,0,0,0,1,0
Adv_Hematol,0,0,0,0,2,1,0
Adv_Med,0,0,0,0,0,2,0
Adv_Microbiol,0,0,0,0,0,1,0
Adv_Mod_Oncol_Res,1,0,0,0,0,0,0
Adv_Pediatr_Res,0,1,0,0,0,0,0
Adv_Pharmacol_Sci,0,1,1,0,1,2,0
Adv_Pharm_Bull,0,0,0,0,0,2,0
Adv_Prev_Med,0,0,0,0,3,0,0
Adv_Radiat_Oncol,0,0,0,0,1,1,0
Adv_Sci_(Weinh),0,0,0,0,0,0,0
Adv_Urol,0,0,0,0,1,3,0
Adv_Virol,1,0,0,1,2,4,0
Aerobiologia_(Bologna),0,0,0,0,0,0,0
Afr_Health_Sci,1,0,0,0,0,5,0
Afr_J_Infect_Dis,0,0,0,0,0,1,0
Afr_J_Lab_Med,0,0,0,0,5,1,0
Afr_J_Prim_Health_Care_Fam_Med,0,0,0,0,1,0,0
Afr_J_Tradit_Complement_Altern_Med,0,0,0,0,0,2,0
Age_Ageing,0,0,0,0,4,0,0
Age_(Dordr),0,0,0,0,0,0,0
Aging_(Albany_NY),0,0,0,0,0,0,0
Aging_Cell,10,1,0,0,60,35,5
Aging_Clin_Exp_Res,0,0,0,0,2,0,0
Aging_Dis,0,0,0,0,2,7,0
AIDS,0,0,0,0,2,0,0
AIDS_Behav,0,0,0,0,6,0,0
AIDS_Res_Hum_Retroviruses,0,0,0,0,0,1,0
AIDS_Res_Ther,0,0,0,0,1,7,0
AIDS_Res_Treat,0,0,0,0,3,0,0
AIMS_Biophys,0,0,0,0,0,1,0
AIMS_Genet,0,0,0,0,0,1,0
AIMS_Microbiol,1,4,0,0,1,4,0
Air_Qual_Atmos_Health,0,0,0,1,0,0,0
Alcohol_Clin_Exp_Res,0,0,0,0,0,1,0
Algorithms_Mol_Biol,5,6,2,0,11,7,0
Aliment_Pharmacol_Ther,0,0,1,0,0,0,0
Allergy,0,0,0,0,1,1,1
Allergy_Asthma_Clin_Immunol,0,0,0,0,1,3,1
Allergy_Asthma_Immunol_Res,0,0,0,0,2,8,1
Alzheimers_Dement,0,0,0,0,1,0,0
Alzheimers_Dement_(Amst),0,0,0,0,0,0,0
Alzheimers_Dement_(N_Y),0,0,0,0,0,0,0
Alzheimers_Res_Ther,1,0,0,0,32,3,1
AMB_Express,8,69,2,3,5,127,0
Ambio,0,1,0,0,0,0,0
AMIA_Jt_Summits_Transl_Sci_Proc,2,0,0,0,7,15,1
Amino_Acids,0,0,0,0,0,4,0
Am_J_Clin_Nutr,0,0,0,0,2,0,0
Am_J_Clin_Pathol,0,0,0,0,1,0,0
Am_J_Epidemiol,0,0,0,0,1,0,1
Am_J_Hum_Genet,1,1,2,0,0,0,7
Am_J_Hypertens,0,0,0,0,0,1,0
Am_J_Pathol,2,0,0,0,1,0,0
Am_J_Phys_Anthropol,0,1,0,0,0,0,0
Am_J_Physiol_Cell_Physiol,0,0,0,0,1,2,0
Am_J_Physiol_Endocrinol_Metab,0,0,0,0,4,2,0
Am_J_Physiol_Gastrointest_Liver_Physiol,0,0,0,0,2,2,0
Am_J_Physiol_Heart_Circ_Physiol,0,0,0,0,0,1,0
Am_J_Physiol_Lung_Cell_Mol_Physiol,0,0,0,0,1,1,0
Am_J_Physiol_Regul_Integr_Comp_Physiol,0,0,0,0,1,1,0
Am_J_Physiol_Renal_Physiol,0,0,0,0,1,1,0
Am_J_Reprod_Immunol,0,0,0,0,0,1,0
Am_J_Respir_Crit_Care_Med,0,0,0,0,0,0,1
Am_J_Surg_Pathol,0,0,0,0,0,1,0
Am_J_Transplant,0,1,0,0,3,0,0
Am_J_Trop_Med_Hyg,0,0,1,0,2,12,0
Anaerobe,0,0,0,0,0,1,0
Anal_Bioanal_Chem,0,1,0,0,0,8,0
Anal_Biochem,0,0,0,0,0,1,0
Anal_Cell_Pathol_(Amst),0,0,0,0,0,0,0
Anal_Chem,0,1,0,0,0,7,0
Anal_Chem_Insights,1,0,0,0,0,0,0
Anat_Cell_Biol,0,0,0,0,1,1,0
Anatol_J_Cardiol,0,0,0,0,0,3,0
An_Bras_Dermatol,0,0,0,0,0,2,0
Andrology,0,0,0,0,1,0,0
Anemia,0,0,0,0,0,2,0
Angew_Chem_Int_Ed_Engl,0,0,0,0,0,1,0
Angiogenesis,2,0,0,0,5,4,0
Animal,0,0,0,0,0,1,0
Animal_Model_Exp_Med,0,0,0,0,1,3,0
Animals_(Basel),0,0,0,0,0,0,0
Anim_Cells_Syst_(Seoul),0,0,0,0,0,0,0
Anim_Genet,0,3,1,0,1,0,0
Anim_Nutr,1,1,0,0,0,6,0
Anim_Sci_J,0,0,0,0,0,2,0
Ann_Appl_Biol,0,0,0,0,0,1,0
Ann_Biomed_Eng,0,0,0,0,0,1,0
Ann_Bot,1,7,1,0,3,2,0
Ann_Clin_Microbiol_Antimicrob,0,1,0,0,1,44,0
Ann_Clin_Transl_Neurol,2,0,0,0,6,10,3
Ann_Dermatol,0,0,0,0,0,5,0
Ann_Entomol_Soc_Am,0,0,0,0,0,1,0
Ann_Gastroenterol,0,0,0,0,1,2,0
Ann_Gastroenterol_Surg,0,0,0,0,0,2,0
Ann_Gen_Hosp_Psychiatry,0,0,0,0,2,0,0
Ann_Gen_Psychiatry,0,0,0,0,10,0,0
Ann_Hematol,0,0,0,0,1,2,0
Ann_Hepatobiliary_Pancreat_Surg,0,0,0,0,0,1,0
Ann_Intensive_Care,0,0,0,0,1,1,0
Ann_Lab_Med,1,0,0,0,0,12,0
Ann_Med,0,0,0,0,1,0,0
Ann_Neurol,0,1,0,0,4,3,4
Ann_Neurosci,0,0,0,0,0,1,0
Ann_Nucl_Med,0,0,0,0,1,0,0
Ann_Oncol,1,0,0,0,5,16,1
Ann_Rehabil_Med,0,0,0,0,0,1,0
Ann_Rheum_Dis,1,1,0,0,8,2,3
Ann_Saudi_Med,0,0,0,0,0,1,0
Ann_Surg_Oncol,1,0,0,0,0,4,0
Ann_Surg_Treat_Res,0,0,0,0,1,1,0
Antibiotics_(Basel),0,0,0,0,0,0,0
Antib_Ther,0,0,0,0,0,1,0
Anticancer_Drugs,0,0,0,0,2,2,0
Antiinflamm_Antiallergy_Agents_Med_Chem,0,0,0,0,0,1,0
Antimicrob_Agents_Chemother,7,19,2,0,3,19,0
Antimicrob_Resist_Infect_Control,0,3,2,0,0,16,0
Antioxidants_(Basel),0,0,0,0,0,0,0
Antioxid_Redox_Signal,1,0,0,0,5,7,0
Antiviral_Res,0,0,0,0,0,2,0
Antonie_Van_Leeuwenhoek,1,2,1,0,2,10,0
AoB_Plants,4,3,0,0,4,29,0
APL_Bioeng,1,0,0,0,2,1,0
APMIS,0,0,0,0,0,1,0
Apoptosis,0,0,1,0,0,5,0
Appl,0,0,0,0,0,1,0
Appl_Biochem_Biotechnol,0,0,0,0,1,3,0
Appl_Econ,0,0,0,0,1,0,0
Appl_Entomol_Zool,0,0,0,0,0,1,0
Appl_Environ_Microbiol,12,56,4,0,8,44,0
Appl_Immunohistochem_Mol_Morphol,0,0,0,0,1,0,0
Appl_Microbiol_Biotechnol,4,16,2,0,4,61,0
Appl_Nanosci,0,0,0,0,0,1,0
Appl_Netw_Sci,0,0,0,0,1,0,0
Appl_Plant_Sci,92,38,0,1,1,246,0
Appl_Soil_Ecol,0,0,0,0,0,1,0
Appl_Transl_Genom,0,1,0,0,0,7,0
Aquaculture,0,0,0,0,0,1,0
Aquat_Biosyst,0,0,0,0,0,1,0
Archaea,1,5,1,0,3,15,0
Arch_Biochem_Biophys,0,0,0,0,1,1,0
Arch_Dermatol_Res,0,0,0,0,1,2,0
Arch_Gynecol_Obstet,0,0,0,0,0,3,0
Arch_Immunol_Ther_Exp_(Warsz),0,0,0,0,0,0,0
Arch_Med_Sci,0,1,0,0,4,15,0
Arch_Microbiol,0,0,0,0,1,5,0
Arch_Osteoporos,0,0,0,0,1,0,0
Arch_Pharm_Res,0,0,0,0,0,3,0
Arch_Toxicol,0,0,0,0,16,5,0
Arch_Virol,1,1,0,0,1,16,0
Arq_Bras_Cardiol,0,0,0,0,0,2,0
Arq_Bras_Cir_Dig,0,0,0,0,0,1,0
Arterioscler_Thromb_Vasc_Biol,1,0,0,0,4,1,2
Arthritis,0,0,0,0,0,2,0
Arthritis_Res,1,0,0,0,0,0,0
Arthritis_Res_Ther,8,1,0,0,98,117,1
Arthritis_Rheum,0,0,0,0,2,4,0
Arthritis_Rheumatol,1,2,0,0,8,2,4
Artif_DNA_PNA_XNA,0,0,0,0,0,1,0
ARYA_Atheroscler,0,0,0,0,0,1,0
Asian-Australas_J_Anim_Sci,2,12,0,0,4,68,0
Asian_J_Androl,1,0,0,0,4,11,0
Asian_J_Urol,0,0,0,0,1,5,0
Asian_Pac_J_Cancer_Prev,1,0,0,0,4,27,0
Asian_Spine_J,0,0,0,0,0,1,0
ASN_Neuro,1,1,0,0,5,19,0
Atherosclerosis,0,0,0,0,1,1,2
Autoimmune_Dis,0,0,0,0,0,4,0
Auto_Immun_Highlights,0,0,0,0,0,1,0
Autoimmunity,0,0,0,0,0,2,0
Autophagy,0,0,0,0,12,40,0
Avicenna_J_Med_Biotechnol,0,0,0,0,3,40,0
Avicenna_J_Phytomed,0,0,0,0,0,2,0
Bacteriophage,0,2,0,0,0,1,0
Balkan_J_Med_Genet,0,0,0,0,2,0,0
Basic_Clin_Androl,0,0,0,0,1,1,0
Basic_Clin_Neurosci,0,0,0,0,0,4,0
Basic_Clin_Pharmacol_Toxicol,1,0,0,0,0,1,0
Basic_Res_Cardiol,0,0,0,0,3,5,0
BBA_Clin,0,0,0,0,2,7,0
Behav_Brain_Funct,0,0,0,0,3,4,0
Behav_Brain_Res,0,0,0,0,1,1,0
Behav_Ecol_Sociobiol,0,0,0,0,1,1,0
Behav_Genet,0,0,0,0,0,1,1
Behav_Neurol,0,0,0,0,2,1,0
Behav_Res_Methods,0,0,0,0,1,0,0
Behav_Sci_(Basel),0,0,0,0,0,0,0
Beilstein_J_Nanotechnol,0,0,0,0,1,1,0
Beilstein_J_Org_Chem,0,1,0,0,0,9,0
Best_Pract_Res_Clin_Gastroenterol,0,0,0,0,0,0,1
Big_Data,0,0,0,0,1,0,0
Bioact_Mater,0,0,0,0,0,1,0
Bioanal_Rev,0,0,0,0,0,1,0
Bioanalysis,0,0,0,0,0,1,0
Biocatal_Biotransformation,0,0,0,0,0,1,0
Biochem_Biophys_Rep,0,0,0,0,9,45,0
Biochem_Biophys_Res_Commun,1,0,0,0,2,11,0
Biochem_Eng_J,0,0,0,0,0,1,0
Biochem_Genet,0,1,0,0,1,0,0
Biochem_Insights,0,0,0,0,1,1,0
Biochemistry,0,1,0,0,2,29,0
Biochem_J,1,1,0,1,7,55,0
Biochem_Pharmacol,0,0,0,0,1,2,0
Biochem_Res_Int,0,0,0,0,2,4,0
Biochem_Soc_Trans,0,0,0,0,0,1,0
Biochim_Biophys_Acta,0,3,0,0,1,27,1
Biochim_Biophys_Acta_Gene_Regul_Mech,0,0,0,0,1,0,0
Biochim_Biophys_Acta_Mol_Cell_Res,0,0,0,0,0,1,0
Biochimie,0,1,0,0,0,1,0
Biochim_Open,0,0,0,0,1,3,0
Bioconjug_Chem,0,0,0,0,0,3,0
BioData_Min,8,4,2,0,29,15,5
Biodegradation,0,1,0,0,0,2,0
Biodivers_Data_J,0,2,1,0,1,6,0
Bioengineered,1,0,0,0,0,4,0
Bioengineering_(Basel),0,0,0,0,0,0,0
Bioeng_Transl_Med,0,0,0,0,2,1,0
Bioessays,0,0,0,0,0,2,0
Biofouling,0,1,0,0,0,0,0
Biogerontology,0,0,0,0,3,3,0
Bioimpacts,1,0,0,0,0,9,0
Bioinformatics,43,84,19,3,118,83,21
Bioinformation,2,3,0,0,28,18,0
Bioinform_Biol_Insights,3,6,1,0,26,11,0
Bioinorg_Chem_Appl,0,0,0,0,0,5,0
Biol_Bull,0,1,0,0,0,0,0
Biol_Cell,1,0,0,0,0,6,0
Biol_Direct,8,14,0,0,21,18,1
Biol_Invasions,0,1,0,0,0,1,0
Biol_Lett,0,1,1,0,0,0,0
Biol_Methods_Protoc,0,0,0,0,0,3,0
Biologicals,0,0,0,0,0,1,0
Biologics,0,0,0,0,0,3,0
Biology_(Basel),0,0,0,0,0,0,0
Biol_Open,10,10,0,1,58,94,0
Biol_Proced_Online,1,1,0,0,5,28,0
Biol_Psychiatry,1,0,0,0,2,1,1
Biol_Reprod,0,2,0,1,12,7,0
Biol_Res,8,3,0,0,8,26,0
Biol_Rhythm_Res,0,0,0,0,0,1,0
Biol_Sex_Differ,1,0,1,0,18,8,3
Biol_Sport,1,0,0,0,0,1,0
Biol_Trace_Elem_Res,0,0,0,0,0,5,0
Biomark_Cancer,0,0,0,0,4,3,0
Biomarkers,0,0,0,0,0,1,0
Biomark_Insights,0,1,0,0,9,4,0
Biomark_Res,4,0,0,0,5,7,0
Biomaterials,0,0,0,0,0,2,0
Biomater_Res,0,0,0,0,0,1,0
Biomatter,0,0,0,0,0,1,0
Biomed_Eng_Comput_Biol,0,0,0,0,0,1,0
Biomed_Eng_Online,1,0,1,0,3,3,1
Biomed_Genet_Genom,0,0,0,0,1,0,0
Biomedicines,1,0,0,0,2,9,1
Biomedicine_(Taipei),0,0,0,0,0,0,0
Biomed_Inform_Insights,0,0,0,0,2,1,0
Biomed_J,0,0,0,0,0,2,0
Biomed_Opt_Express,0,0,0,0,1,1,0
Biomed_Rep,2,0,0,0,3,6,0
Biomed_Res_Int,69,46,3,1,220,604,5
Biometals,0,0,0,0,1,2,0
Biometrika,0,0,0,0,1,0,0
Biomol_Detect_Quantif,0,1,0,0,1,10,0
Biomolecules,6,8,0,0,9,30,3
Biomol_NMR_Assign,0,0,0,0,0,1,0
Biomol_Ther_(Seoul),0,0,0,0,0,0,0
Biophysics_(Nagoya-shi),0,0,0,0,0,0,0
Biophys_J,0,0,0,0,0,1,0
Biophys_Rep,0,1,0,0,0,2,0
Biophys_Rev,1,0,0,0,1,2,1
Biopolymers,0,0,0,0,0,2,0
Biopreserv_Biobank,0,0,0,0,0,1,1
Bioprocess_Biosyst_Eng,0,0,0,0,0,2,0
Bio_Protoc,0,1,0,0,2,0,0
Biopsychosoc_Med,0,0,0,0,1,0,0
Biores_Open_Access,0,0,0,0,1,9,0
Bioresour_Bioprocess,0,1,0,1,0,3,0
Biosci_Microbiota_Food_Health,2,0,1,0,1,9,0
Biosci_Rep,25,4,1,0,30,211,6
Biosensors_(Basel),0,0,0,0,0,0,0
Biostatistics,0,0,0,0,3,0,0
Biotechnol_Bioeng,1,2,0,0,0,3,0
Biotechnol_Biofuels,20,98,4,3,61,145,0
Biotechnol_Biotechnol_Equip,0,0,0,0,1,17,0
Biotechnol_J,0,0,0,0,0,6,0
Biotechnol_Lett,0,1,0,0,0,6,0
Biotechnol_Prog,1,0,0,0,0,1,0
Biotechnol_Rep_(Amst),0,0,0,0,0,0,0
Biotechnol_Res_Int,0,0,0,0,0,4,0
Birth_Defects_Res_A_Clin_Mol_Teratol,0,0,0,0,1,0,0
BIT_Numer_Math,0,0,1,0,0,0,0
BJU_Int,0,0,0,0,1,0,0
Bladder_Cancer,2,0,0,0,1,12,0
Bl_Cancer,0,0,0,0,0,5,0
Blood,0,0,0,0,0,1,0
Blood_Cancer_J,8,1,0,0,32,25,0
Blood_Coagul_Fibrinolysis,0,0,0,0,0,1,0
Blood_Res,0,0,0,0,0,2,0
BMB_Rep,6,1,0,0,9,38,0
BMC_Anesthesiol,0,0,0,0,2,2,0
BMC_Biochem,4,0,0,0,2,64,0
BMC_Bioinformatics,152,198,24,5,652,251,11
BMC_Biol,27,47,4,2,67,84,2
BMC_Biophys,1,0,0,0,0,0,0
BMC_Biotechnol,10,13,0,0,13,300,0
BMC_Blood_Disord,0,0,0,0,0,1,0
BMC_Cancer,139,14,2,1,380,590,5
BMC_Cardiovasc_Disord,0,0,0,0,9,8,0
BMC_Cell_Biol,9,0,0,0,19,93,0
BMC_Clin_Pathol,0,0,0,0,2,6,0
BMC_Complement_Altern_Med,1,2,0,0,16,94,0
BMC_Dermatol,0,0,0,0,2,4,0
BMC_Dev_Biol,12,3,1,1,41,136,0
BMC_Ear_Nose_Throat_Disord,0,1,0,0,1,0,0
BMC_Ecol,3,2,0,0,4,8,0
BMC_Emerg_Med,0,0,0,0,1,0,0
BMC_Endocr_Disord,1,0,0,0,5,7,1
BMC_Evol_Biol,20,107,11,3,35,178,0
BMC_Fam_Pract,0,0,0,0,17,0,0
BMC_Gastroenterol,1,0,1,0,9,32,2
BMC_Genet,19,55,2,1,31,110,9
BMC_Genomics,728,1762,139,65,2090,659,34
BMC_Geriatr,1,0,0,0,118,2,0
BMC_Health_Serv_Res,0,0,0,0,33,0,0
BMC_Hematol,0,0,0,0,1,0,0
BMC_Immunol,5,1,1,0,24,57,1
BMC_Infect_Dis,5,17,4,2,31,144,0
BMC_Int_Health_Hum_Rights,0,0,0,0,1,0,0
BMC_Med,9,1,0,0,25,20,1
BMC_Med_Educ,0,0,0,0,1,0,0
BMC_Med_Ethics,0,0,0,0,3,1,0
BMC_Med_Genet,7,13,1,0,27,85,8
BMC_Med_Genomics,63,20,5,0,296,76,5
BMC_Med_Imaging,0,0,0,0,1,1,0
BMC_Med_Inform_Decis_Mak,0,0,0,0,7,6,0
BMC_Med_Res_Methodol,0,0,0,0,5,1,0
BMC_Microbiol,56,158,14,7,100,643,0
BMC_Mol_Biol,15,4,0,0,33,213,0
BMC_Mol_Cell_Biol,0,0,0,0,1,2,0
BMC_Musculoskelet_Disord,2,0,0,0,12,46,0
BMC_Nephrol,2,0,0,0,12,16,2
BMC_Neurol,1,1,0,0,40,15,2
BMC_Neurosci,7,1,0,0,43,73,0
BMC_Nurs,0,0,0,0,8,0,0
BMC_Obes,0,0,0,0,2,0,1
BMC_Ophthalmol,0,0,0,0,5,9,0
BMC_Oral_Health,1,1,0,1,3,10,0
BMC_Palliat_Care,0,0,0,0,4,0,0
BMC_Pediatr,0,1,0,0,3,5,0
BMC_Pharmacol,2,0,0,0,0,11,0
BMC_Pharmacol_Toxicol,0,0,0,0,5,9,0
BMC_Physiol,2,0,0,0,10,14,0
BMC_Plant_Biol,82,327,12,13,252,383,0
BMC_Pregnancy_Childbirth,0,1,0,0,2,6,0
BMC_Proc,0,1,0,0,5,5,0
BMC_Psychiatry,2,0,0,0,47,3,1
BMC_Psychol,0,0,0,0,4,0,0
BMC_Public_Health,0,0,0,2,46,1,1
BMC_Pulm_Med,2,1,1,0,14,14,1
BMC_Res_Notes,28,64,6,4,98,204,2
BMC_Sports_Sci_Med_Rehabil,0,0,0,0,0,1,0
BMC_Struct_Biol,0,0,0,0,3,25,0
BMC_Syst_Biol,27,8,0,1,205,77,2
BMC_Urol,0,1,0,0,6,14,0
BMC_Vet_Res,9,21,1,0,25,190,0
BMC_Womens_Health,0,0,0,0,6,3,0
BMJ,0,0,0,0,3,2,0
BMJ_Open,0,0,3,1,51,5,2
BMJ_Open_Diabetes_Res_Care,0,0,0,0,1,0,0
BMJ_Open_Gastroenterol,0,2,0,0,3,2,0
BMJ_Open_Respir_Res,0,2,0,0,1,0,0
BMJ_Paediatr_Open,0,0,0,0,1,0,0
Bone,0,0,0,0,1,0,0
Bone_Joint_Res,0,0,0,0,8,7,0
Bone_Marrow_Res,0,0,0,0,0,2,0
